LAST SEEN   TYPE      REASON                 OBJECT                                      MESSAGE
69s         Normal    Scheduled              pod/accounts-deployment-5865c6d7f8-nkjw2    Successfully assigned default/accounts-deployment-5865c6d7f8-nkjw2 to gke-cluster-1-default-pool-55f1c67a-tcbd
69s         Normal    ScalingReplicaSet      deployment/accounts-deployment              Scaled up replica set accounts-deployment-5865c6d7f8 to 1
68s         Normal    Pulling                pod/accounts-deployment-5865c6d7f8-nkjw2    Pulling image "ammanchipavan/accounts:latest"
67s         Normal    Scheduled              pod/accounts-deployment-5865c6d7f8-mkz46    Successfully assigned default/accounts-deployment-5865c6d7f8-mkz46 to gke-cluster-1-default-pool-55f1c67a-k743
67s         Normal    Started                pod/accounts-deployment-5865c6d7f8-nkjw2    Started container accounts
67s         Normal    Created                pod/accounts-deployment-5865c6d7f8-nkjw2    Created container accounts
67s         Normal    Killing                pod/accounts-deployment-686f694d57-ph9kv    Stopping container accounts
67s         Normal    SuccessfulCreate       replicaset/accounts-deployment-5865c6d7f8   Created pod: accounts-deployment-5865c6d7f8-mkz46
67s         Normal    ScalingReplicaSet      deployment/accounts-deployment              Scaled up replica set accounts-deployment-5865c6d7f8 to 2
67s         Normal    SuccessfulDelete       replicaset/accounts-deployment-686f694d57   Deleted pod: accounts-deployment-686f694d57-ph9kv
67s         Normal    Pulled                 pod/accounts-deployment-5865c6d7f8-nkjw2    Successfully pulled image "ammanchipavan/accounts:latest" in 480.99913ms
67s         Normal    ScalingReplicaSet      deployment/accounts-deployment              Scaled down replica set accounts-deployment-686f694d57 to 2
66s         Normal    Pulling                pod/accounts-deployment-5865c6d7f8-mkz46    Pulling image "ammanchipavan/accounts:latest"
63s         Normal    Started                pod/accounts-deployment-5865c6d7f8-mkz46    Started container accounts
63s         Normal    Created                pod/accounts-deployment-5865c6d7f8-mkz46    Created container accounts
63s         Normal    Pulled                 pod/accounts-deployment-5865c6d7f8-mkz46    Successfully pulled image "ammanchipavan/accounts:latest" in 2.928516654s
62s         Normal    SuccessfulDelete       replicaset/accounts-deployment-686f694d57   Deleted pod: accounts-deployment-686f694d57-h6xlz
62s         Normal    Killing                pod/accounts-deployment-686f694d57-h6xlz    Stopping container accounts
62s         Normal    Scheduled              pod/accounts-deployment-5865c6d7f8-2jw7h    Successfully assigned default/accounts-deployment-5865c6d7f8-2jw7h to gke-cluster-1-default-pool-55f1c67a-nxp9
58s         Normal    ScalingReplicaSet      deployment/accounts-deployment              (combined from similar events): Scaled down replica set accounts-deployment-686f694d57 to 0
62s         Normal    SuccessfulCreate       replicaset/accounts-deployment-5865c6d7f8   Created pod: accounts-deployment-5865c6d7f8-2jw7h
61s         Normal    Pulling                pod/accounts-deployment-5865c6d7f8-2jw7h    Pulling image "ammanchipavan/accounts:latest"
58s         Normal    Started                pod/accounts-deployment-5865c6d7f8-2jw7h    Started container accounts
58s         Normal    Killing                pod/accounts-deployment-686f694d57-llnfk    Stopping container accounts
58s         Normal    Created                pod/accounts-deployment-5865c6d7f8-2jw7h    Created container accounts
58s         Normal    Pulled                 pod/accounts-deployment-5865c6d7f8-2jw7h    Successfully pulled image "ammanchipavan/accounts:latest" in 2.580392237s
58s         Normal    SuccessfulDelete       replicaset/accounts-deployment-686f694d57   Deleted pod: accounts-deployment-686f694d57-llnfk
